MailAddress,llc_count,avg_sale_value,first_sale,last_sale,llc_names,apns,risk_level,cluster_notes
11770 WARNER AVE STE 215,60,237533.0,03/06/2013,10/20/2010,BELAVITA LLC | BELINGER LLC | BELLALANCE LLC | MESAVILLE HOLDINGS LLC,145-282-40; 165-081-19; 145-531-25; 145-014-68; 938-781-62; 938-781-63; 938-781-64; 938-781-65; 938-781-66; 938-781-67; 938-781-68; 938-781-69; 938-781-70; 938-781-71; 938-781-72; 938-781-73; 938-781-74; 938-781-75; 938-781-76; 938-781-77; 938-781-78; 938-781-79; 938-781-80; 938-781-81; 938-781-82; 938-781-83; 938-781-84; 938-781-85; 938-781-86; 938-781-87; 938-781-88; 938-781-92; 938-781-93; 938-781-94; 938-781-95; 938-781-96; 938-781-97; 938-781-98; 938-781-99; 938-782-00; 938-782-01; 938-782-02; 938-782-03; 938-782-04; 938-782-05; 938-782-07; 938-782-08; 938-782-09; 938-782-10; 938-782-11; 938-782-12; 938-782-13; 938-782-14; 938-782-15; 938-782-16; 938-782-17; 938-782-18; 938-782-19; 938-782-20; 938-782-21,CRITICAL,Major CMRA hub (60+ LLCs)
220 NEWPORT CENTER DR # 11-557,57,0.0,02/04/2019,05/02/2019,PENINSULA VILLAGE LLC,932-713-10; 932-713-01; 932-713-02; 932-713-03; 932-713-04; 932-713-17; 932-713-18; 932-713-19; 932-713-22; 932-713-23; 932-713-24; 932-713-25; 932-713-26; 932-713-27; 932-713-28; 932-713-34; 932-713-35; 932-713-36; 932-713-37; 932-713-40; 932-713-41; 932-713-43; 932-713-47; 932-713-57; 932-713-58; 932-713-05; 932-713-06; 932-713-07; 932-713-08; 932-713-09; 932-713-11; 932-713-12; 932-713-13; 932-713-14; 932-713-15; 932-713-20; 932-713-21; 932-713-29; 932-713-30; 932-713-31; 932-713-32; 932-713-33; 932-713-38; 932-713-39; 932-713-45; 932-713-48; 932-713-49; 932-713-50; 932-713-51; 932-713-52; 932-713-53; 932-713-54; 932-713-55; 932-713-56; 932-713-59; 932-713-60; 932-713-61,CRITICAL,Newport Center financial cluster
3187 RED HILL AVE STE 213,38,,04/08/2010,04/08/2010,BELAVITA LLC,938-781-21; 938-781-22; 938-781-23; 938-781-24; 938-781-25; 938-781-26; 938-781-27; 938-781-28; 938-781-29; 938-781-30; 938-781-31; 938-781-32; 938-781-33; 938-781-34; 938-781-35; 938-781-36; 938-781-37; 938-781-38; 938-781-39; 938-781-40; 938-781-41; 938-781-42; 938-781-43; 938-781-44; 938-781-45; 938-781-46; 938-781-47; 938-781-48; 938-781-49; 938-781-50; 938-781-51; 938-781-52; 938-781-53; 938-781-54; 938-781-55; 938-781-56; 938-781-57; 938-781-58,HIGH,
620 NEWPORT CENTER DR FL 11TH,37,7365432.0,02/13/2008,10/12/2012,JASMINE PLACE ASSOCIATES LLC | SYNERGY HUNTINGTON LLC,935-933-12; 935-933-13; 935-933-17; 935-933-22; 935-933-25; 935-933-26; 935-933-28; 024-124-32; 024-124-33; 935-933-15; 935-933-04; 935-933-05; 935-933-06; 935-933-07; 935-933-08; 935-933-09; 935-933-10; 935-933-11; 935-933-14; 935-933-16; 935-933-18; 935-933-19; 935-933-20; 935-933-21; 935-933-23; 935-933-24; 935-933-27; 935-933-29; 935-933-30; 935-933-31; 935-933-32; 935-933-33; 935-933-34; 935-933-35; 935-933-36; 935-933-00; 935-933-01,HIGH,Newport Center financial cluster
2161 VENTIA,25,0.0,,,SUPERIOR BEACH HOMES LLC,937-677-42; 937-677-43; 937-677-44; 937-677-45; 937-677-46; 937-677-47; 937-677-48; 937-677-49; 937-677-50; 937-677-51; 937-677-52; 937-677-53; 937-677-54; 937-677-55; 937-677-56; 937-677-57; 937-677-58; 937-677-59; 937-677-60; 937-677-61; 937-677-62; 937-677-63; 937-677-64; 937-677-66; 937-677-65,HIGH,
PO BOX 1549,24,,,,"CC REALTY INVESTORS LLC | LIDO PENINSULA CO LLC | LIDO PENINSULA COMPANY LLC | LIDO PENINSULA COMPANY, LLC",988-880-44; 890-210-02; 890-210-03; 890-210-04; 890-210-09; 890-210-12; 890-210-16; 890-210-30; 890-211-31; 890-211-59; 890-212-22; 890-219-17; 890-219-32; 890-219-33; 890-219-35; 890-219-36; 890-219-42; 890-210-36; 890-210-01; 890-219-55; 890-210-55; 890-210-56; 890-210-57; 890-219-54,HIGH,USPS PO Box network
PO BOX 1368,21,1327500.0,04/01/2003,06/02/2000,SLATER I LLC,939-090-01; 939-090-03; 939-090-02; 939-090-05; 939-090-06; 939-090-07; 939-090-09; 939-090-13; 939-090-14; 939-090-15; 939-090-16; 939-090-17; 939-090-18; 939-090-20; 939-090-21; 939-090-23; 939-090-24; 939-090-25; 939-090-26; 939-090-27; 939-090-28,HIGH,USPS PO Box network
260 BAKER ST STE 100,20,0.0,04/06/2006,09/29/2006,BURKE ASTRONAUTICS PARTNERS LLC | BURKE GOTHARD STREET PARTNERS LLC | BURKE MONARCH LLC | BURKE MONARCH MULTI LLC | MONARCH UNIT 401 LLC,936-751-38; 936-751-39; 936-751-41; 936-751-42; 936-751-43; 936-751-44; 936-751-45; 936-751-46; 936-751-47; 936-751-48; 936-751-49; 936-751-50; 936-751-51; 936-751-52; 936-751-35; 936-751-36; 142-121-27; 195-111-42; 142-121-29; 936-751-37,HIGH,
17272 NEWHOPE ST,20,980000.0,04/09/2026,12/31/2008,663 HIBISCUS LLC | FOUNTAIN VALLEY RENTALS LLC | JBAR TRANS CAPITAL LLC | RODECKER COMPANIES LLC | ROJACK LLC,024-031-19; 938-785-69; 938-784-30; 938-785-68; 938-785-74; 938-785-78; 938-785-80; 938-785-82; 938-785-83; 938-786-08; 938-786-09; 938-786-12; 938-785-23; 938-785-24; 938-785-25; 938-785-37; 938-785-38; 938-785-41; 938-785-42; 938-786-00,HIGH,Fountain Valley industrial cluster
13070 OLD BOLSA CHICA RD,20,0.0,,,LOS ALISOS RANCH CO LLC | LOS ALISOS RANCH COMPANY LLC | M WESLAND LLC | M WESTLAND LLC,891-610-76; 891-611-70; 891-612-95; 891-613-31; 891-615-35; 891-590-18; 891-590-63; 891-591-01; 891-599-06; 891-599-07; 891-599-08; 891-599-09; 891-599-10; 891-599-11; 891-599-12; 891-599-13; 891-599-19; 891-599-20; 107-601-41; 142-122-08,HIGH,
25011 CINNABAR CT,12,0.0,,,119 & 123 14TH LLC | 201 & 207 14TH LLC | 2411 ENGLAND LLC | 420 21ST LLC | 421 & 425 16TH LLC | 7770 YORKTOWN LLC | 7790 YORKTOWN LLC,025-121-41; 023-153-02; 023-153-03; 024-031-13; 024-035-12; 024-035-11; 025-121-40; 025-121-39; 025-121-38; 025-121-37; 025-121-42; 023-123-02,MODERATE,
507 LARKSPUR AVE,12,,,,FOURCHER 4340 LLC,934-057-36; 934-057-37; 934-057-38; 934-057-39; 934-057-40; 934-057-41; 934-057-42; 934-057-43; 934-057-44; 934-057-45; 934-057-46; 934-057-47,MODERATE,
1006 SEGOVIA CIR,12,,,,PL JETTY LLC,936-801-39; 936-801-40; 936-801-41; 936-801-42; 936-801-43; 936-801-44; 936-801-57; 936-801-58; 936-801-59; 936-801-60; 936-801-61; 936-801-62,MODERATE,
212 S PALM AVE # 200,11,163636.0,01/28/2004,06/29/2012,H B AMBERLEAF LLC | H B PIERSIDE LLC,024-165-10; 024-165-11; 159-131-10; 159-131-09; 159-131-08; 159-131-21; 159-131-22; 159-131-11; 024-165-16; 024-165-12; 024-165-13,MODERATE,
14752 BEACH BLVD STE 106,11,6172727.0,09/26/2014,10/09/2014,HUNTINGTON LLC,939-500-38; 939-500-39; 939-500-40; 939-500-41; 939-500-42; 939-500-43; 939-500-44; 939-500-45; 939-500-46; 939-500-47; 939-500-48,MODERATE,Beach Blvd commercial hub
5220 E BEVERLY BLVD,10,0.0,,,HUNTINGTON SANDS LLC,165-181-27; 165-181-25; 165-181-29; 165-181-26; 165-181-24; 165-181-30; 165-181-31; 165-181-32; 165-181-33; 165-181-28,MODERATE,
3225 MCLEOD DR # 777,10,0.0,03/18/2013,11/03/2000,315 319 ELMIRA LLC | 502 CALIFORNIA 200 202 LLC | 6401 VIKING LLC | COASTLINE HOLDING LLC | HLH MANAGEMENT LLC | SUN AND FUN LLC | THE NGUYEN DYNASTY HOLDING LLC | UNICORN ASSETS LLC,146-013-05; 195-041-13; 146-652-51; 107-702-10; 157-432-04; 110-411-08; 024-223-05; 024-221-14; 159-153-17; 151-301-03,MODERATE,
17220 NEWHOPE ST STE 207,9,2637250.0,03/01/2016,11/21/2003,ADLAND APARTMENTS LLC | TN INVESTMENTS PROPERTIES LLC | TN INVESTMENTS PROPERTIESLLC | VILLA POINT LLC,025-061-29; 938-780-35; 938-780-37; 938-780-36; 025-061-30; 025-061-35; 025-061-36; 938-780-33; 938-780-38,MONITOR,
1635 OHMS WAY # A,8,1258375.0,01/28/2015,12/19/2018,5TH STREET PARTNERS LLC | MAHDEK 3 PROPERTIES PARTNERS LLC | MAHDEK 3 PROPERTY PARTNERS LLC | MAHDEK PROPERTY PARTNERS LLC | MALAGA STREET PARTNERS LLC | MANDEK 7 PROPERTY PARTNERS LLC | MANDEK PROPERTY PARTNERS LLC | SURF CITY ACQUISTIONS LLC,165-241-07; 165-241-17; 165-233-20; 165-233-16; 025-111-26; 025-111-25; 107-772-05; 023-163-13,MONITOR,
